requirement_id	source	phase	design	plan	tests	commits	runtime_events	metrics	status	evidence
REQ-OPTIMIZATION-002	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/model-optimization/src/scoring.test.ts,packages/model-optimization/src/evaluation.test.ts	4740f1a,fd4f243,5f1b082	optimization.recommend,optimization.evaluation.execute	deterministic-policy-score	completed	docs/phases/25-model-optimization-lab/review.md
REQ-OPTIMIZATION-003	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/model-optimization/src/batch.test.ts,packages/model-optimization/src/evaluation.test.ts	4740f1a,fd4f243,5f4f950,c9d19a9,adba407	optimization.batch.activate,optimization.observation.record,optimization.recover	consent-budget-retention-gates	completed	docs/phases/25-model-optimization-lab/review.md
REQ-OPTIMIZATION-004	phase25:requirements	25	docs/phases/25-model-optimization-lab/design.md	docs/phases/25-model-optimization-lab/implementation-plan.md	packages/application/src/model-optimization-operations.test.ts,packages/application/src/query-registry.test.ts,apps/cli/src/commands.test.ts,packages/runtime/src/model-factory.test.ts,apps/server/src/product.test.ts,packages/extension-sdk/src/manifest.test.ts,packages/extension-host/src/lifecycle.test.ts	5c92e57,fd4f243,5f1b082,17a5829,341d036,4cac7d5	optimization.evaluation.execute,model.route.selected,modelEvaluationBundles:registered	redacted-query-projection	in-progress	docs/phases/25-model-optimization-lab/review.md
REQ-GPT56-001	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-GPT56-002	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-GPT56-003	phase26:requirements	26	docs/phases/26-gpt-5-6-migration/design.md	docs/phases/26-gpt-5-6-migration/implementation-plan.md	packages/runtime/src/model-factory.test.ts	0f060a0	model.route.selected	pending	completed	docs/phases/26-gpt-5-6-migration/review.md
REQ-REPO-001	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	not-applicable	3c9697d,6777f3b	not-applicable	history-mapping	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-002	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	scripts/verify-security.test.mjs	6777f3b	not-applicable	legacy-marker-count	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-003	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	not-applicable	3c9697d	not-applicable	archive-manifest	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-REPO-004	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	scripts/verify-docs.test.mjs,scripts/verify-release.test.mjs	6777f3b	release-lifecycle	clean-clone	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
REQ-CORE-BOUNDARY-001	phase27:requirements	27	docs/phases/27-clean-repository-cloud-separation/design.md	docs/phases/27-clean-repository-cloud-separation/implementation-plan.md	packages/application/src/contracts.test.ts,packages/application/src/product.test.ts	2cb4f65,6777f3b	application-api-v1	schema-version	completed	docs/evidence/phase-27/clean-clone-verification-2026-07-13.md
